Isim,KullaniciAdi,YorumSayisi,RetweetSayisi,BegeniSayisi,Tweet
HaydarKarani,@HaydarKarani,,,1,"https://twitter.com/i/status/1341466771988099074…
#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #"
Para Üstü TV,@paraustutv,,,,"Asgari Ücret Ne Kadar Olacak?
#asgariücret
Detaylar Videomuzda: http://youtu.be/wonWd0poPB8"
enesfarukhafsa,@ibo45600,,,2,"Fazla değil
Asgari ücret, Cumhurbaşkanı maaşının %4'ü kadar olsun

88.000x 0.04= 3520 ₺ olur."
Gazete Damga,@gazetedamga,,,,DİSK 3 bin 800 liralık asgari ücret talebini yineledi
Seda,@Sedaakssy,,,,Kalbi zengin insan ormanamama diye bir site keşfettim. Ülkemizin her bir köşesine seçtiğimiz şehre barınaklar ve sokak hayvanları için mama ve kedi evi bağışı yapabiliyoruz. Asgari ücret ailesi olarak herkes minikte olsa istediği yere mama bağışında bulunsa çok iyi olur 
Togrıl,@togr_l,,,,Asgari ücret 5000 tl olunca temel ihtiyaçların fiyatlarının aynı kalacağını mi düşünüyorsunuz
Arzelist,@FurkanArzell,,,1,"Yoksulluk yok
Askıda ekmek
Kuru ekmek yiyorsa aç değil 
Gençler iş beğenmiyor
Al keyif çayı iç 
Diyanet bütçesi 
İş aş 
Meclis lokantası 
Araba mı, buz dolabı mı vardı 
Kredi, faiz 
Dolarla mı maaş alıyorsun 
İfade özgürlüğü 
Çin aşısı 
Asgari ücret 
Ve daha niceleri..."
HaydarKarani,@HaydarKarani,,,2,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
mustafa keskin,@mustafa13519836,,,,"Organ ticaretinden, uyuşturucudan para kazan, Türkiye’ye getir, sıfır vergi! Fabrikada alın teri dök, asgari ücret al, vergiye tabi... Şu kendini muhafazakar diye tanıtan partiye bak!"
HaydarKarani,@HaydarKarani,,,2,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
Haksever,@Haksever10,,,,Bir gazeteciyi dava etmişsin 45 bin TL maaş olan Ongun. Maaşını em kötü bir 10 bin liraya düşür ihtiyaç sahiplerine kaç asgari ücret düşer Murat. Biraz insaflı ol.
MustARLI,@must_55,,,,Sn.cumhur başkanım asgari ücretli çalışanın yaşam şartları altında ezilmemesi ve düzgün kabul edilebilir ücret olmasını temenni ediyoruz.
sinan,@Maviye59,,,,"Gündeme bak, millet sokakta aç geziyor hasta işsiz dolanıyor, asgari ücret konusunda bir gündem yarat dayı valla 5 vakit başlayacağım."
Mutlak Bilgi,@MutlakBilgi,,,,DİSK 3 bin 800 liralık asgari ücret talebini yineledi
HaydarKarani,@HaydarKarani,,,1,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
GERÇEK HABER GAZETESİ,@gercekhaber27,,,1,Asgari ücret adil olmalı
Kadirözveri,@kadirozveri,,,,Demekki asgari ücret yeterliymiş
Nihat Eyüpoğlu,@nihat_eyupoglu,,7,6,khklli  belediye şirket iscisi her fedakarligi  çeksin kadro diye şirkete alinsin #Geçinemiyoruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
ERSİN TURAN ϜϓSϞ,@Ersinim20,,,7,Asgari ücret ne kadar olur bilmem ama tek başıma 5000 TL yetmiyor ev kira değil
Aykut A,@ist_1907,,,,"R.T.E kesin o şefkat eli uzatacaktır yoksa 2.324 TL asgarî ücret ile gecinmeleri zor .
Ben buradan bakınca ülkelerine döndükleri için mutlu olduklarını görüyorum ablacım:))"
şenol şenyüz ,@SenolSenyuz,,,,"10.000 tl ye geçinemeyen 20.000 tl ye hiç geçinemez, 20.000 tl ye geçinemiyorsa 30.000 tl vermek lazım, asgari ücret komisyonuna söyleyelim 40.000 tl versinler, bence 50.000 tl de yetmez erken seçim yapalım."
HaydarKarani,@HaydarKarani,,,1,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
HaydarKarani,@HaydarKarani,,,3,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
Cüz'i irade,@cuziiradee,,,,Asgari ücret deyip millet aç diyenler de hep asgari ücret alıyorlardı zaten değil mi?
HaydarKarani,@HaydarKarani,,1,3,#quote #WW84 #eczyt #rysas #thyao #YanındayızErolBulut #asgariuecret #sınavagelmiyorum #doco #XAUUSD #carsamba #fener #netas #MadameCoco #KacakcıCanan #Logo #MeToo #FMIZP #jupitersaturnconjunction #UElkemizinGercekleri #OEgretmene60BinUmut #CEMTS #VKING #jantsa #sınavagelmiyorum
Mecit Vayısoğlu,@mecitvayisoglu,,,2,"Ben bu karikatüre çok anlam yüklerim ama kimseleri kızdırmak istemiyorum.
#AsgariÜcret
#AsgariÜcretBinDolarOlsun
#faiz #dolar #ALTIN
#elektrikfaturası #EYT"
Ersin,@Esobey_,,,1,"Asgari ücret, asgari ücrete askeri ücret diyecek insanlar tarafından belirleniyor"
Çaresiz Adam,@free3519,,,,3 gündür sabahın erken saatinde çıkıyorum bir iş bulup akşam cebimde 3 kuruşla eve gideyim diye üşüdüğümle kalıp geri dönüyorum maalesef #ÜlkemizinGerçekleri #issizlik #asgariücret
destan,@destandemir61,,,,Asgari ücret kaç olur diyoruz abi bizimki de dertmi
Güzide Kopuz,@GuzideKopuz,,,,Nerde asgari ücret konusu? Yanlış haber yapıyorsunuz.
Sezai ORHAN,@sezai_orhan,,,,Asgari ücret?
Pelin,@Pelinozsr,,1,3,"Diyanet bu yıl kişi başı fitre parası 27TL olarak açıkladı..4kisilik bir ailenin 
27×4= 108Tl günlük 
30×108= 3240TL aylık..
Asgari ücret tespit komisyonuna gerek varmı..
Sizin koskoca diyanete güveniniz yok mu,ayıp ama
#asgariücret"
#EYT mucahit4169@mynet.com,@mucahit4169,,3,5,"TÜİK'in rakamı işçinin tek başına yaşaması için gerekli rakam olarak hesaplanıyor ama #asgariücret bu değil. 
#AsgariÜcret bir işçinin ailesi ile beraber geçinebileceği en az tutardır. 
https://youtu.be/5HqRHHskVaQ"
MedyaRota,@medya_rota,,,,Asgari Ücret Ne Kadar Olmalı@enginozkoc @UmitDikbayir @mleventbulbul
Fevzi KARATAŞ,@FevziKARATAS8,,1,3,"#Tuik Sende olmasan...! 
#asgariücret"
DİSK,@diskinsesi,,5,13,"Bilecik'te DİSK Genel Sekreteri @ADNANSERDAROGLU'nun da katıldığı basın açıklamasında işçiler taleplerimiz için buluştu:
Vergi yükü kalksın, insanca yaşayacak asgari ücret istiyoruz!
#İnsancaYaşanacakAsgariÜcret"
Muhalif,@smail95045512,,,,Asgari ücret 100 dolar olsun aradaki fark diyanete aktarılsın
MedyaRota,@medya_rota,,,,Asgari Ücret Ne Kadar Olmalı@aliihsanyavuz54 @cigdematabek @uncuoglurecep
Kütahya ÜO,@ulkuocaklari43,,1,2,"Kütahya Belediyemizden Örnek Davranış
Asgari Ücret: 3.200 TL

Belediye Başkanımız Prof. Dr. Âlim Işık ve yönetimine bu hassas davranışları nedeniyle tebriklerimizi sunarız.

#SözVerdik
#BirlikteBaşaracağız
#ProfDrAlimIşık
#MHP
#KütahyaÜlküOcakları"
Muhalif,@smail95045512,,,,Asgari ücret 100 dolar olsun savundukları asfaltı kemirdikleri günleri görürüz inşallah
#EYT mucahit4169@mynet.com,@mucahit4169,,3,5,"Bugün tüm Türkiye'den insanca yaşamaya yetecek bir #AsgariÜcret için seslendik... 
 Milyonlar AsgariÜcretten Mahrum! 
 Milyonlar AsgariÜcrete Mahkum!
Kölelik maaşı istemiyoruz"
T24,@t24comtr,2,6,43,"DİSK 3 bin 800 liralık asgari ücret talebini yineledi
https://t24.com.tr/haber/disk-3-bin-800-liralik-asgari-ucret-talebini-yineledi,922400…"
Muhalif,@smail95045512,,,,Asgari ücret 100 dolar olsun.Savundukları betonu asfaltı kemirdikleri günleride görürüz inşallah
süleyman başar,@louisquartorze7,,,,"Ulan sepet gafa siz verin büyükşehir belediyeleri sizde. Örnek olun , hükümeti ve şirketleri mecbur bırakın .  Seçim vaadinizdi CHP li belediyelerde asgarî ücret yüksek olacaktı . Neden vermiyorsunuz asgarî ücreti yüksek ."
Bilal KüyüK ,@kuyuk77,,,,"Bırak asgari ücret 3000 yapmak yerine binlerce işçiyi sokağa döküldü. İşsiz kaldı. Yerine kendi adamlarını yani PKK YPG lilari belidiyelere aldılar.. 
#tacizcichp"
Albatros49,@albatros223406,,,,"Emekçi düşmanlarının, asgari ücret ile ilgili görevli militanları, asgari ücreti, C.Bşk.'nının istediği seviyeye getirmek için savaşıyor! Her konuya müdahil olan şahsiyet, ne hikmetse emekçilerin hakları söz konusu olduğunda,""Bizim dışımızda"" diyebiliyor! Zaten 5 verip 55 alırlar"
Kocinos,@kocinos,,,,Bende işçiyim biliyorum. Ama asgari ücret yaparken bakan veya milletvekili yada müdür maaşı ile kıyaslanamaz. Bizi temsil eden sendika başkanı bizim maaşın 10 katını alıyor ama o bir kişi. Kıyas olmaz.
Muhalif,@smail95045512,,,,Destek verin asgari ücret 100 dolar olsun asfaltı kemirsinler yol yaptık asfalt yaptık diye övünüyorlardı.Betonu kemirdikleri günleride göreceğiz inşallaaaah
#EYT mucahit4169@mynet.com,@mucahit4169,,,,"Bugün tüm Türkiye'den insanca yaşamaya yetecek bir #AsgariÜcret için seslendik... 
 Milyonlar AsgariÜcretten Mahrum! 
 Milyonlar AsgariÜcrete Mahkum!"
Kamu,@f_kariyer,,1,3,"İşte asgari ücret zam teklifleri:

CHP: 3 BİN 100 TL
İYİ PARTİ: 3 BİN TL
HDP: 4 BİN TL
SAADET PARTİSİ: 4 BİN 500 TL
GELECEK PARTİSİ: 3 BİN 300 TL
BAĞIMSIZ TÜRKİYE PARTİSİ: 10 BİN TL
YENİDEN REFAH PARTİSİ: 3 BİN 500 TL
DİSK: 3 BİN 800 TL

#KYKBURS"
Ozgur Tarikahya,@ozgurtrkhy,1,,,Hangi CV de asgari ücret verecekseniz aramayın yazıyor? İi arama kriterleri ne zaman 3000 liralık veya 5000 liralık iş oldu.  Ayrıca sen niteliklerini yazarsın anlayan işveren de ona göre maaş teklif eder. Şimdi ben buraya Harward mezunuyum ğara kazanmam şazım desem +
Sonnokta Gazetesi,@SonnoktaTrabzon,,,,"Cumhurbaşkanı Erdoğan'dan asgari ücret açıklaması!

https://bit.ly/3nJqmWQ"
Gelecek Partisi Medya,@TRGelecekMedya,1,,,Serkan Özcan: Arnavutluk'tan sonra Avrupa Birliği'nde en düşük asgari ücret var bu ülkede. Bu ülkenin bakanı çıkıp ülkede yoksulluk sorunu kalmamıştır diyor.
Muhalif,@smail95045512,,,,Destek verin asgari ücret 100 dolar olsun savundukları betonu kemirdikleri günleride göreceğiz inşalaaaah
Üseyin  Emekli maaşına el konan,@Usyinn,,3,3,"Kazık herşeyden daha büyük diyor!

#EmeklilikteYașaTakılanlar
#nasa
#saturn
#Jupiter
#kazık
#asgariücret
#dolar
#MilletBıktı
#SınavlarİptalEdilsin
#huzurhakkı
#kulhakkı
#Covid_19
#COVID20
@NASA"
ULAKÇI,@UlakciYorum,,,1,CHP Grup Başkanvekili Özkoç’tan “Asgari Ücret Kanun Teklifi”ne ilişkin açıklama
Akdeniz Manşet Gazetesi,@akdenizmanset,,,,DİSK’ten asgari ücret açıklaması  https://akdenizmanset.com.tr/disk-ten-asgari-ucret-aciklamasi/177487/… @devyapi_is #DİSK #asgariucret
Kamu Personeli,@kammupersoneli,,,,"Flaş gelişme! 

DİSK'ten asgari ücret açıklaması!

https://kamupersoneli.net/ekonomi/flas-gelisme-diskten-asgari-ucret-aciklamasi-h102929.html…"
Melek ,@MelekHakan20,,,,"TÜİK'ten yapılan son dakika açıklamasına ( 24 Eylül 2020 ) göre geçen yılın bu dönemine göre elektrik yüzde 32.3, doğalgaz ise yüzde 34.7 oranında zamlandı.

Ve aynı TÜİK,asgari ücret için 2792 ₺ öneriyor.Neye göre,Kime göre.

#TüikKapatılsın "
Arzu A. Çerkezoğlu,@ArzuCerkezoglu,1,2,36,"Bugün tüm Türkiye'den insanca yaşamaya yetecek bir #AsgariÜcret için seslendik... 
 Milyonlar AsgariÜcretten Mahrum! 
 Milyonlar AsgariÜcrete Mahkum!"
i dunno what 2 do,@idunnowhatt2do,,,1,"Yurdum insanının evrime inanmamasi gayet normal, asgari ücret evrilemiyor hayat şartlarına bir türlü"
ϜϓſϞ MKASKERİ,@Mkaskerii,,,,Asgari ücret ne demek git bi araştır sonra sor öğretmenin farkını.
Selahattin Kara,@Skara_5734,,3,6,"Ocaktan Aralık ayına
Yumurta % 100
Ayçiçek Yağı % 100
Et: % 60
Peynir % 60
Tereyağı %50 arttı
Un %45
Süt %45 arttı

#asgariücret için TÜİK önerisi %19

Ulan bre vicdansızlar
Allah'ınızdan bulun emi
#AsgariÜcretVergisiz3100
#2020ninKaybedeni"
Pınar Akartürk,@PinarAkarturk,,,,Son dakika haberler: Asgari ücret 2021 ne kadar olacak? TÜİK'in asgari ücret açıklamasındaki o ayrıntı! - Haberler Haberleri - @Sabah @PinarAkarturk -
MedyaRota,@medya_rota,,,,"Asgari Ücret Mutlu Edecek Mi
İşte Vatandaşın Talebi https://medyarota.com/m/ekonomi/asgari-ucret-mutlu-edecek-mi-iste-vatandasin-talebi-h6037.html…
#DmdekiYalanlar #KYKBURS #koronavirus #KacakcıCanan #SınavlarİptalEdilsin #Ripple #BizOnaReisDedik #AİHM #asgariucret #asgariuecret #UElkemizinGercekleri"
Mehmet Özgür ÜRETEN,@OzgurUretenCHP,,2,1,"İstanbul İl Başkanımız Dr. Canan Kaftancıoğlu’nun katılımlarıyla; #CHP Ümraniye İlçe Örgütü olarak, partimizin 3.100 TL asgari ücret önerisini Alemdağ Caddesi yayalaştırılmış alanda yurttaşlarımıza ve esnaflarımıza anlattık. 

#TekYönİktidar
#AsgariÜcretÖnerim"
Aysenur Yazici,@aysenuryazici,2,7,10,Türkiye'den Arnavutluk’a 42 milyon euro değerinde 522 adet konut hediye... Asgari ücret? Paramız yok
Tükenmez Haber,@tukenmezhaber,,,,"DİSK (@diskinsesi) üyesi işçiler, 'insan onuruna yakışır asgari ücret' talebiyle sokağa çıktı

 'Sefalet ücreti değil insan onuruna yaraşır asgari ücret'

https://tukenmezhaber.com/article/28111/sefalet-ucreti-degil-insan-onuruna-yarasir-asgari-ucret…"
ebru,@emrebruuu,,,,Asgari ücret için bu kadar tatava yapmanıza gerek yok ya 5.000 tl de yapsanız gelecek zamlarla geri alacaksınız zaten  kasmayın geenşşler 
Olay Rize,@olayrize,,,,Cumhurbaşkanı Erdoğan'dan Asgari ücret sorusuna tek cümlelik yanıt
KPSS - İŞ İLANLARI - GÜNCEL HABERLER,@2012_KPSS,,,1,"Cumhurbaşkanı Erdoğan'dan 2021 Asgari Ücret Açıklaması
https://memurlarahaber.com/haber/cumhurbaskani-erdogandan-2021-asgari-ucret-aciklamasi-40512.htm…"
Çağrı acar,@Acar30Ar,,,1,Valla abi gıda enflasyonunun önüne devlet geçmediği sürece 5 binlirada olsa asgari ücret gene olmaz temel gıda buğday depoları un fab yağ fab devletin tekelinde olmalı satan marketlerede ağır yaptırımlar gelmelidir.mesela devlet satılmayacak dedim hiç birisi satamamalidir
Munzur Baba nin oğlu,@PolatArtuk1,,,1,"#asgariuecret
#kuruekmek"
Haber Aktüel,@haberaktuel,,,,DİSK’ten asgari ücret açıklaması https://haberaktuel.com/diskten-asgari-ucret-aciklamasi-haberi-2740358.html…
Mehmet Aka,@Hanse1453,,,,"#istanbulsözleşmesinehayir @RTErdogan #yenidenrefah2yasında @yeniakit #askıdaiktidar #askıdaekmek @rprefahhaliliye @yopdeutsch @yeniyasamgazete @yenisafak
#AsgariUEcret4000 #AsgariUEcretNet3000TL #AsgariÜcret #İnsaniUEcret #insaniücret"
10.Köyün Muhtarı,@abo_eyt,,,,"Asgari ücret/ Milletvekili maaşları 

Almanya
Asgari - 1557 Euro
M.Vekili - 7.500 Euro (5 katı)

Fransa
Asgari - 1539 Euro
M.Vekili - 6.000 Euro (4 katı)

Türkiye
Asgari - 2324 TL
M.Vekili - 25.000 TL (11 katı)

#asgariücret"
ForJustice,@WaterLuda,,,1,TÜİK 2.792 lira 10 kuruşluk asgari ücret teklifini sundu. Bence bu teklif esas alınacak. 2700-2800 arası bir rakam asgari ücret olarak belirlenecek.
Orhan GÜNDOĞDU,@gundogduorhan,,,,Asgari ücret bakanlık tarafından açıklandıktan sonraki seneryo hazır.rakamı sayın cb az buldu ve şu kadar olması için talimat verdi.
CÜNEYT ÖZER,@SefirCuneytOzer,,,,Aklınızdan mı konuşuyorsunuz? 3800 TL asgari ücret olduğunu varsayalım. Peki diğer çalışanların maaşları ne olacak? Kimse çalışmaz memlekette söyleyeyim. Herkes asgari ücrete eyvallah der.
BJK,@1siyah90beyaz3,,,1,Asgari ücret ile emekliler için mücadele olsun 
İmambakır Üküş,@imambakirukus,,1,,DİSK: İnsan onuruna yaraşır asgari ücret istiyoruz
Mehmet Aka,@Hanse1453,,,1,"#istanbulsözleşmesinehayir @RTErdogan #yenidenrefah2yasında @yeniakit #askıdaiktidar #askıdaekmek @rprefahhaliliye @yopdeutsch @yeniyasamgazete @yenisafak
#AsgariUEcret4000 #AsgariUEcretNet3000TL #AsgariÜcret #İnsaniUEcret #insaniücret #ülkemizingerçekleri"
KAMUŞERON BELEDİYECİ ,@TURANSEVDASITR,,1,2,khklli  belediye şirket iscisi her fedakarligi  çeksin kadro diye şirkete alinsin #Geçinemiyoruz #khklı #Belediye işçileri 696 KHK ile kadro diye kandırıldı. Biz hâlâ kadrosuz #asgariücret li şirket işçisiyiz. @ZehraZumrutS #450binBelediyeciKadrosuz @RTErdogan @kilicdarogluk
niceliksizherif,@niceliksizherif,,,1,Asgari ücret aklına gelmiyormuymuş.
Mert Bütüner,@mertbtnr,,,2,"Vardiya yemeğinde çıkan portakalı çocuğuna götüren asgari ücretli babanın maaşını, onun ne yaşadığından habersiz olanlar belirleyemez.  #asgariücret"
Asd12309,@Asd123095,,,1,Ne yapsınlar 1 gün chp yi bıraksalar mazallah asgari ücret ekonomi gündeme gelir allah korusun
Mehmet Aka,@Hanse1453,,,,"#istanbulsözleşmesinehayir @RTErdogan #yenidenrefah2yasında @yeniakit #askıdaiktidar #askıdaekmek @rprefahhaliliye @yopdeutsch @yeniyasamgazete @yenisafak
#AsgariUEcret4000 #AsgariUEcretNet3000TL #AsgariÜcret #İnsaniUEcret #insaniücret"
BİRLESİK METAL-İŞ,@BirlesikMetal,,2,4,"Konfederasyonumuz #DİSK bugün alanlarda... 

Vergi yükü kalksın, insanca yaşayacak asgari ücret istiyoruz!
#İnsancaYaşanacakAsgariÜcret"
Profesorfacia,@Profesorfacia,7,21,108,"Bu akşam,
pandemi dönemde pik yapan
yoksulluğun ve çaresizliğin üzerine,
bir de TÜİK'in açıkladığı rakamlarla umutları kıran asgari ücret konusunu, yapacağımız tag çalışmasıyla değerlendiriyoruz.
Söyleyecek sözü olanları,
saat 21:00'de burada bekliyoruz..."
Basit AYRINTI,@BAyrinti,2,1,3,"DİSK asgari ücret 3.800 altını kabul etmem dedi samimi buluyor musunuz

#DmdekiYalanlar batman adilyargılama #HaftaOrtasıKazançKeyfi Ebaveynİle GelKatılBize #KYKBURS Koronavirüs Bilim Kurulu #ParamedikİstihdamMağduru YA AF Yada-ŞartlıTahliye Cem Uzan Metin Akpınar AİHM"
Serdar Aydoğan,@DarDarTwit,,,1,"Asgari ücret müzakereleri sürerken, Disk ve CHP'nin flama niyetine elde sallaması gereken data."
 Mete TURANOĞLU,@TuranogluMete,,,,"Asgari maaş duymuşumdur #AsgariUEcretleGecinemiyoruz #haber
#asgariuecret"
Murat N. Bilgin,@muratnb,,,,DİSK 3 bin 800 liralık asgari ücret talebini yineledi: https://tr.sputniknews.com/ekonomi/202012231043451503-disk-3-bin-800-liralik-asgari-ucret-talebini-yineledi/… @sputnik_TR aracılığıyla
Metehan,@Metehan19082880,2,3,16,"Buğdayı rusyadan, pamuğu yunanistandan aldığın sürece, asgari ücret 10 bin lira da olsa, aç kalmaya mahkumsun."
